일자,요일,본사정원수,본사휴가자수,본사출장자수,야근자수,재택근무자수,조식메뉴,중식메뉴,석식메뉴,중식계,석식계,dayofweek,month,yearmonth,출근인원,중식비율,석식비율,중식 New,석식 New,중식 diff,석식 diff,강수량,시간
2019-02-01,금,2806,283,180,2,0.0,모닝롤/고구마파이  우유/주스 계란후라이 야채죽/쌀밥 (쌀:국내산) 바지락국  새송이버섯볶음  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 시금치국  동파삼겹수육  해물파전  간장깻잎지  포기김치 (김치:국내산) ,쌀밥/잡곡밥  참치김치찌개  소고기모듬장조림  셀프무쌈말이  구이김  알타리김치 (김치:국내산) ,804,171,4,2,2019-02,2343,0.34314980793854033,0.07298335467349552,False,False,False,False,0,12:00
2019-02-07,목,2806,392,101,447,0.0,모닝롤/핫케익  우유/주스 계란후라이 견과류죽/쌀밥 (쌀:국내산) 김치두부국  김자반  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 열무된장국  훈제오리구이  매운어묵볶음  쌈무/부추생채  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 연두부탕  양념치킨  견과류조림  무생채  포기김치 (김치:국내산) ,1144,553,3,2,2019-02,2313,0.49459576307825337,0.23908344141807178,False,False,False,False,0,12:00
2019-02-08,금,2806,373,190,3,0.0,모닝롤/찐빵  우유/주스 계란후라이 누룽지탕/쌀밥 (쌀:국내산) 시래기국  멸치볶음  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 황태국  제육볶음  들깨버섯무침  숙주나물  알타리김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 쇠고기국  해물누룽지탕  미트볼케찹조림  양념깻잎지  포기김치 (김치:국내산) ,970,532,4,2,2019-02,2243,0.43245653143111906,0.2371823450735622,False,False,False,False,0,12:00
2019-02-11,월,2806,67,159,758,0.0,모닝롤/초코핫케익  우유/주스 계란후라이 누룽지탕/쌀밥 (쌀:국내산) 콩나물국  두부쑥갓무침  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 어묵국  소불고기 (소고기:호주산) 계란말이  실곤약초무침  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 된장찌개  닭볶음탕 (닭:국내산) 부추호박전  오이사과생채  포기김치 (김치:국내산) ,1459,772,0,2,2019-02,2580,0.5655038759689922,0.2992248062015504,False,False,False,False,0,12:00
2019-02-12,화,2806,51,240,648,0.0,모닝롤/와플  우유/주스 스크램블에그 땅콩죽/쌀밥 (쌀:국내산) 동태찌개 (동태:러시아산) 아삭고추무침  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 순두부찌개  돈육장조림 (돈육:국내산) 옥수수전  물미역*초장  포기김치 (김치:국내산) ,볶음밥*짜장소스 (쌀:국내산) 가쯔오장국  사천식탕수육 (돈육:국내산) 콘샐러드  단무지/주스  포기김치 (김치:국내산) ,1102,649,1,2,2019-02,2515,0.43817097415506956,0.258051689860835,False,False,False,False,0,12:00
2019-02-13,수,2806,61,231,0,0.0,모닝롤/애플파이  우유/주스 계란후라이 누룽지탕/쌀밥 (쌀:국내산) 조랭이미역국  쥐포무침  포기김치 (김치:국내산) ,"낙지비빔밥 (쌀:국내,낙지:중국산) 맑은국  메추리알조림  고구마튀김  오복지무침  포기김치 (김치:국내산) ",쌀밥/잡곡밥 (쌀:국내산) 근대국  돈육간장볶음 (돈육:국내산) 마파두부 (돈육:국내산) 콩나물무침  포기김치 (김치:국내산) ,1044,497,2,2,2019-02,2514,0.4152744630071599,0.19769291964996022,False,False,False,False,0,12:00
2019-02-14,목,2806,73,239,605,0.0,모닝롤/씨크립샌드  우유/주스 계란후라이 표고버섯죽/쌀밥 (쌀:국내산) 호박젓국찌개  브로컬리초장  포기김치 (김치:국내산) ,"쌀밥/잡곡밥 (쌀:국내산) 꽃게탕  미니채소떡갈비 (소고기:호주,돈육:국내) 카레감자채볶음  양배추쌈*쌈장  포기김치 (김치:국내산) ",참치주먹밥 (쌀:국내산) 우동  케이준샐러드  또띠아견과칩  오이피클/과일  포기김치 (김치:국내산) ,963,578,3,2,2019-02,2494,0.38612670408981553,0.23175621491579793,False,False,False,False,0,12:00
2019-02-15,금,2806,159,278,1,0.0,모닝롤/프렌치토스트  우유/주스 계란후라이 녹두죽/쌀밥 (쌀:국내산) 홍합탕  시금치나물  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 봄동된장국  오징어볶음 (오징어:뉴질랜드) 연두부*양념장  미역줄기볶음  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 육개장 (소고기:호주산) 탕수어 (동태살:러시아) 우엉잡채  취나물  포기김치 (김치:국내산) ,682,450,4,2,2019-02,2369,0.28788518362178134,0.18995356690586745,False,False,False,False,0,12:00
2019-02-18,월,2806,104,195,728,0.0,모닝롤/꿀호떡  우유/주스 계란후라이 누룽지탕/쌀밥 (쌀:국내산) 냉이된장국  명엽채무침  포기김치 (김치:국내산) ,"쌀밥/잡곡밥 (쌀:국내산) 콩비지찌개 (돈육:국내산) 치즈함박스테이크 (돈육:국내산,수입산) 새송이버섯전  유채나물  포기김치 (김치:국내산) ",쌀밥/잡곡밥 (쌀:국내산) 얼갈이국  돈육굴소스볶음 (돈육:국내산) 홍어채무침  세발나물  포기김치 (김치:국내산) ,1314,678,0,2,2019-02,2507,0.5241324291982449,0.27044276027124053,False,False,False,False,0,12:00
2019-02-19,화,2806,62,228,663,0.0,모닝롤/야채샌드  우유/주스 스크램블에그 잣죽/쌀밥 (쌀:국내산) 감자국  꽈리고추찜  포기김치 (김치:국내산) ,쌀밥/오곡밥 (쌀:국내산) 차돌박이찌개 (차돌박이:미국산) 굴비구이  오징어야채무침  보름나물/구이김  부럼/포기김치 (김치:국내산) ,김치볶음밥/계란 (쌀:국내산) 가쯔오장국  탄두리치킨 (닭:국내산) 딸기드레싱샐러드  오렌지  포기김치 (김치:국내산) ,1052,653,1,2,2019-02,2516,0.41812400635930047,0.2595389507154213,False,False,False,False,1,12:00
